location,count,link
"north carolina, united states",28,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#north%20carolina,%20united%20states"
"wake county, north carolina, united states",6,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#wake%20county,%20north%20carolina,%20united%20states"
"raleigh, wake county, north carolina, united states",6,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#raleigh,%20wake%20county,%20north%20carolina,%20united%20states"
"guilford county, north carolina, united states",4,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#guilford%20county,%20north%20carolina,%20united%20states"
"buncombe county, north carolina, united states",4,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#buncombe%20county,%20north%20carolina,%20united%20states"
"greensboro, guilford county, north carolina, united states",3,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#greensboro,%20guilford%20county,%20north%20carolina,%20united%20states"
"black mountain, buncombe county, north carolina, united states",3,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#black%20mountain,%20buncombe%20county,%20north%20carolina,%20united%20states"
"sedalia, guilford county, north carolina, united states",2,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#sedalia,%20guilford%20county,%20north%20carolina,%20united%20states"
"swain county, north carolina, united states",2,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#swain%20county,%20north%20carolina,%20united%20states"
"guilford county, north caroliana, united states",2,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#guilford%20county,%20north%20caroliana,%20united%20states"
"new york city, new york county, new york, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#new%20york%20city,%20new%20york%20county,%20new%20york,%20united%20states"
"griffith park, los angeles, california, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#griffith%20park,%20los%20angeles,%20california,%20united%20states"
"fort bragg, hoke county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#fort%20bragg,%20hoke%20county,%20north%20carolina,%20united%20states"
"hoke county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#hoke%20county,%20north%20carolina,%20united%20states"
"fort lee, prince george county, virginia, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#fort%20lee,%20prince%20george%20county,%20virginia,%20united%20states"
"fort mcclellan, calhoun county, alabama, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#fort%20mcclellan,%20calhoun%20county,%20alabama,%20united%20states"
"germany",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#germany"
"great lake, craven county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#great%20lake,%20craven%20county,%20north%20carolina,%20united%20states"
"craven county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#craven%20county,%20north%20carolina,%20united%20states"
"warrenton, warren county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#warrenton,%20warren%20county,%20north%20carolina,%20united%20states"
"warren county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#warren%20county,%20north%20carolina,%20united%20states"
"red springs, robeson county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#red%20springs,%20robeson%20county,%20north%20carolina,%20united%20states"
"robeson county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#robeson%20county,%20north%20carolina,%20united%20states"
"chapel hill, orange county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#chapel%20hill,%20orange%20county,%20north%20carolina,%20united%20states"
"orange county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#orange%20county,%20north%20carolina,%20united%20states"
"richmond, richmond (city), virginia, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#richmond,%20richmond%20(city),%20virginia,%20united%20states"
"henderson county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#henderson%20county,%20north%20carolina,%20united%20states"
"asheville, buncombe county, north carolina, united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#asheville,%20buncombe%20county,%20north%20carolina,%20united%20states"
"france",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#france"
"united states",1,"https://ncdigitalcollections.github.io//demo/ncdctest/browse.html#united%20states"
